,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
10,train,6,3,0.952619673,0.949818517,0.590317163,0.442127802,,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",3,0.949818517,0.952619673,0.590317163,0.442127802,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",3,0.590317163,0.442127802,0.952619673,0.949818517,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)"
11,vali,6,3,0.927232168,0.527021665,0.612670797,0.460442313,0.750360461785343,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",3,0.527021665,0.927232168,0.612670797,0.460442313,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",3,0.612670797,0.460442313,0.927232168,0.527021665,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)"
12,train,7,2,0.950743212,0.946369667,0.59406216,0.444636907,,"SignificanceResult(statistic=0.7681592449534921, pvalue=0.0)",5,0.946752804,0.951092148,0.590602992,0.442171879,"SignificanceResult(statistic=0.7709591645995223, pvalue=0.0)",10,0.587189851,0.439205928,0.951163027,0.946990876,"SignificanceResult(statistic=0.7728791157080583, pvalue=0.0)"
13,vali,7,2,0.925942034,0.514131717,0.630783575,0.473748689,0.740172452899653,"SignificanceResult(statistic=0.740172452899653, pvalue=0.0)",5,0.515686675,0.925906324,0.629022308,0.470824254,"SignificanceResult(statistic=0.7418763800573598, pvalue=0.0)",10,0.627996236,0.469667978,0.925794721,0.514230281,"SignificanceResult(statistic=0.7414593048528261, pvalue=0.0)"
14,train,8,10,0.953540536,0.95015923,0.58121711,0.432964371,,"SignificanceResult(statistic=0.7759257214244721, pvalue=0.0)",12,0.951244967,0.954200236,0.57922734,0.432506379,"SignificanceResult(statistic=0.7766750369154419, pvalue=0.0)",9,0.581290919,0.433539456,0.953471252,0.950459898,"SignificanceResult(statistic=0.7751440182651469, pvalue=0.0)"
15,vali,8,10,0.928895954,0.508229709,0.623850925,0.466922622,0.739117884663715,"SignificanceResult(statistic=0.7391178846637159, pvalue=0.0)",12,0.509147497,0.928464725,0.631519783,0.472585112,"SignificanceResult(statistic=0.7397766812658979, pvalue=0.0)",9,0.621132431,0.463816278,0.928608079,0.508179779,"SignificanceResult(statistic=0.7429168397541129, pvalue=0.0)"
16,train,9,4,0.95219079,0.949162778,0.585875096,0.437466521,,"SignificanceResult(statistic=0.7750160978980188, pvalue=0.0)",8,0.948907142,0.951961745,0.582204729,0.434774314,"SignificanceResult(statistic=0.777490151629701, pvalue=0.0)",14,0.579119306,0.432499502,0.952379695,0.949482267,"SignificanceResult(statistic=0.7794337599458631, pvalue=0.0)"
17,vali,9,4,0.93137118,0.532695774,0.631381467,0.473269012,0.732907716103562,"SignificanceResult(statistic=0.7329077161035625, pvalue=0.0)",8,0.534031538,0.931195936,0.624118359,0.468076358,"SignificanceResult(statistic=0.7406307306519918, pvalue=0.0)",14,0.622720209,0.465738418,0.931088747,0.532959201,"SignificanceResult(statistic=0.7419910191488077, pvalue=0.0)"
18,train,10,5,0.953998916,0.950401445,0.588524226,0.440347259,,"SignificanceResult(statistic=0.7744188913767112, pvalue=0.0)",3,0.950493142,0.954384509,0.589220592,0.440429588,"SignificanceResult(statistic=0.7735463405429046, pvalue=0.0)",14,0.582125304,0.435120566,0.954161158,0.949912431,"SignificanceResult(statistic=0.7783269595298565, pvalue=0.0)"
19,vali,10,5,0.92866182,0.523570432,0.637407153,0.47455825,0.718305905959632,"SignificanceResult(statistic=0.7183059059596325, pvalue=0.0)",3,0.524013657,0.928463272,0.633452827,0.470936249,"SignificanceResult(statistic=0.7166881278010715, pvalue=0.0)",14,0.629152906,0.466192725,0.92803662,0.521304453,"SignificanceResult(statistic=0.7207528289953746, pvalue=0.0)"
,,,,0.928741612,0.527459996,0.630520959,0.471072342,,,,,,,,,,,,,,
,,,,0.001933175,0.009757258,0.01105607,0.006113337,,,,,,,,,,,,,,
,,,,,,,,0.743368152,,,,,,,,,,,,,
,,,,,,,,0.741621208,,,,,,,,,,,,,
,,,,,,,,0.729680545,,,,,,,,,,,,,
,,,,,,,,0.752224601,,,,,,,,,,,,,
,,,,,,,,0.741454001,,,,,,,,,,,,,
,,,,,,,,0.750360462,,,,,,,,,,,,,
,,,,,,,,0.740172453,,,,,,,,,,,,,
,,,,,,,,0.739117885,,,,,,,,,,,,,
,,,,,,,,0.732907716,,,,,,,,,,,,,
,,,,,,,,0.718305906,,,,,,,,,,,,,
,,,,,,,,0.738921293,,,,,,,,,,,,,
,,,,,,,,0.009941295,,,,,,,,,,,,,
