,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
10,train,6,4,0.952178647974097,0.9482042586251797,0.5873801832511482,0.43785975928836657,"SignificanceResult(statistic=0.7699555324586145, pvalue=0.0)",4,0.9482042586251797,0.952178647974097,0.5873801832511482,0.43785975928836657,"SignificanceResult(statistic=0.7699555324586145, pvalue=0.0)",0,0.5903150517705528,0.43848288818866327,0.9522312365261458,0.9483698231712928,"SignificanceResult(statistic=0.7683184735058243, pvalue=0.0)"
11,vali,6,4,0.8369977934774383,0.2942093425376679,0.8190520252395305,0.6314796454747851,"SignificanceResult(statistic=0.5766646545048851, pvalue=0.0)",4,0.2942093425376679,0.8369977934774383,0.8190520252395305,0.6314796454747851,"SignificanceResult(statistic=0.5766646545048851, pvalue=0.0)",0,0.7991593111373009,0.6221691177052437,0.836544136738328,0.29383649734806405,"SignificanceResult(statistic=0.5897645550159847, pvalue=0.0)"
12,train,7,2,0.9529275829621513,0.949854052643683,0.5944431492950757,0.44432679595053426,"SignificanceResult(statistic=0.7692985576763102, pvalue=0.0)",13,0.9505595562217648,0.9534750263669315,0.5868975555677608,0.43777114086391405,"SignificanceResult(statistic=0.7752450120808918, pvalue=0.0)",0,0.5970986312438171,0.4466222350391476,0.9528929794017094,0.9498140552869623,"SignificanceResult(statistic=0.7686623846096597, pvalue=0.0)"
13,vali,7,2,0.8123602102479242,0.31703579346738237,0.7497422570643658,0.5542884340119917,"SignificanceResult(statistic=0.6032363607828196, pvalue=0.0)",13,0.32018728591600787,0.8122761372702827,0.7415856458411286,0.5490662917979928,"SignificanceResult(statistic=0.6057326497217985, pvalue=0.0)",0,0.7370360170202092,0.5463062932324964,0.8096531960290233,0.3172776892225514,"SignificanceResult(statistic=0.6144511088958594, pvalue=0.0)"
14,train,8,5,0.9552755627805217,0.9517408561937755,0.5860140157531343,0.43687180958091326,"SignificanceResult(statistic=0.7723657714023353, pvalue=0.0)",13,0.9506038091333227,0.9542768102868906,0.5807888602390276,0.43260134730486033,"SignificanceResult(statistic=0.7760272005562058, pvalue=0.0)",5,0.5860140157531343,0.43687180958091326,0.9552755627805217,0.9517408561937755,"SignificanceResult(statistic=0.7723657714023353, pvalue=0.0)"
15,vali,8,5,0.825726638415023,0.28649869422106294,0.7646988249754268,0.5923656901822715,"SignificanceResult(statistic=0.5611428731442716, pvalue=6.488e-320)",13,0.30253116649591066,0.819634721741034,0.8046913449243482,0.6221433680752014,"SignificanceResult(statistic=0.5232585527452941, pvalue=5.521071038478894e-271)",5,0.7646988249754268,0.5923656901822715,0.825726638415023,0.28649869422106294,"SignificanceResult(statistic=0.5611428731442716, pvalue=6.488e-320)"
16,train,9,2,0.9535772020644876,0.950421001506839,0.5913627359106556,0.44154415923406143,"SignificanceResult(statistic=0.7766148632848452, pvalue=0.0)",10,0.9505991401289291,0.9536171234529981,0.5852585446923971,0.4367449464182904,"SignificanceResult(statistic=0.7803400500867853, pvalue=0.0)",11,0.5846286090543669,0.43622917984756404,0.9537265759872848,0.9506238056254367,"SignificanceResult(statistic=0.7808737684982153, pvalue=0.0)"
17,vali,9,2,0.7765611432085586,0.26674514182453224,0.736992252394834,0.5658216831290116,"SignificanceResult(statistic=0.49848434635316, pvalue=2.032690881929295e-236)",10,0.269174202130803,0.7762383710639006,0.7347406117908406,0.5605076702343206,"SignificanceResult(statistic=0.4975655691928435, pvalue=2.0240365336229647e-235)",11,0.7250978406161391,0.5451081525850094,0.7750399314158055,0.2655192948082872,"SignificanceResult(statistic=0.518960842248857, pvalue=1.782089710784998e-259)"
18,train,10,12,0.9520593113129596,0.9496793815655019,0.5756091282306929,0.42744628171102345,"SignificanceResult(statistic=0.7807474242165909, pvalue=0.0)",12,0.9496793815655019,0.9520593113129596,0.5756091282306929,0.42744628171102345,"SignificanceResult(statistic=0.7807474242165909, pvalue=0.0)",0,0.5852366617673888,0.4334113836098832,0.9516779690885447,0.9495036210534884,"SignificanceResult(statistic=0.7737027368535133, pvalue=0.0)"
19,vali,10,12,0.8100259985216963,0.3134714380643808,0.7758127461906456,0.5932558639689245,"SignificanceResult(statistic=0.5377080816770516, pvalue=0.0)",12,0.3134714380643808,0.8100259985216963,0.7758127461906456,0.5932558639689245,"SignificanceResult(statistic=0.5377080816770516, pvalue=0.0)",0,0.7737863463815198,0.5969729274369556,0.8067381339904572,0.30825148024057075,"SignificanceResult(statistic=0.5432198258219424, pvalue=0.0)"
