,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,spearman_maxauc,,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
10,train,6,3,0.952619673,0.949818517,0.590317163,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",,3,0.949818517,0.952619673,0.590317163,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",3,0.590317163,0.952619673,0.949818517,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)"
11,vali,6,3,0.927232168,0.527021665,0.612670797,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",0.750360462,3,0.527021665,0.927232168,0.612670797,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",3,0.612670797,0.927232168,0.527021665,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)"
12,train,7,5,0.949999607,0.945611246,0.589692664,"SignificanceResult(statistic=0.7715528260353118, pvalue=0.0)",,5,0.945611246,0.949999607,0.589692664,"SignificanceResult(statistic=0.7715528260353118, pvalue=0.0)",10,0.586335418,0.950675517,0.946424074,"SignificanceResult(statistic=0.7737485526287224, pvalue=0.0)"
13,vali,7,5,0.926171243,0.513433336,0.629261256,"SignificanceResult(statistic=0.7409617193826664, pvalue=0.0)",0.740961719,5,0.513433336,0.926171243,0.629261256,"SignificanceResult(statistic=0.7409617193826664, pvalue=0.0)",10,0.629071609,0.925697082,0.510393864,"SignificanceResult(statistic=0.7406920526443836, pvalue=0.0)"
14,train,8,10,0.953540536,0.95015923,0.58121711,"SignificanceResult(statistic=0.7759257214244721, pvalue=0.0)",,12,0.951244967,0.954200236,0.57922734,"SignificanceResult(statistic=0.7766750369154419, pvalue=0.0)",9,0.581290919,0.953471252,0.950459898,"SignificanceResult(statistic=0.7751440182651469, pvalue=0.0)"
15,vali,8,10,0.928895954,0.508229709,0.623850925,"SignificanceResult(statistic=0.7391178846637159, pvalue=0.0)",0.739117885,12,0.509147497,0.928464725,0.631519783,"SignificanceResult(statistic=0.7397766812658979, pvalue=0.0)",9,0.621132431,0.928608079,0.508179779,"SignificanceResult(statistic=0.7429168397541129, pvalue=0.0)"
16,train,9,3,0.950198598,0.947327918,0.585977247,"SignificanceResult(statistic=0.7743125676504843, pvalue=0.0)",,1,0.946460312,0.949706102,0.590223531,"SignificanceResult(statistic=0.7713053266916825, pvalue=0.0)",14,0.578382495,0.950410767,0.947357894,"SignificanceResult(statistic=0.7798037648683707, pvalue=0.0)"
17,vali,9,3,0.929534596,0.530988059,0.62617714,"SignificanceResult(statistic=0.7397790636788633, pvalue=0.0)",0.739779064,1,0.531683133,0.92940343,0.631002106,"SignificanceResult(statistic=0.7386949948637292, pvalue=0.0)",14,0.622166925,0.929081639,0.530935292,"SignificanceResult(statistic=0.7430993284690738, pvalue=0.0)"
18,train,10,5,0.953998916,0.950401445,0.588524226,"SignificanceResult(statistic=0.7744188913767112, pvalue=0.0)",,3,0.950493142,0.954384509,0.589220592,"SignificanceResult(statistic=0.7735463405429046, pvalue=0.0)",14,0.582125304,0.954161158,0.949912431,"SignificanceResult(statistic=0.7783269595298565, pvalue=0.0)"
19,vali,10,5,0.92866182,0.523570432,0.637407153,"SignificanceResult(statistic=0.7183059059596325, pvalue=0.0)",0.718305906,3,0.524013657,0.928463272,0.633452827,"SignificanceResult(statistic=0.7166881278010715, pvalue=0.0)",14,0.629152906,0.92803662,0.521304453,"SignificanceResult(statistic=0.7207528289953746, pvalue=0.0)"
,行标签,平均值项:auc_max,平均值项:aupr_maxauc,平均值项:rmse_maxauc,平均值项:aupr_max,平均值项:auc_maxaupr,平均值项:rmse_maxaupr,,平均值项:rmse_min,平均值项:auc_minrmse,平均值项:aupr_minrmse,,,,,,,
,vali,0.928495793,0.527335261,0.631810796,0.527969371,0.928351912,0.633916533,#DIV/0!,0.625396562,0.928111665,0.526041504,,,,,,,
,总计,0.928495793,0.527335261,0.631810796,0.527969371,0.928351912,0.633916533,,0.625396562,0.928111665,0.526041504,,,,,,,
,,,,0.001606244,0.009891688,0.011322407,,0.738159459,,,,,,,,,,
,,,,,,,,0.740852574,,,,,,,,,,
,,,,,,,,0.729680545,,,,,,,,,,
,,,,,,,,0.751723486,,,,,,,,,,
,,,,,,,,0.741454001,,,,,,,,,,
,,,,,,,,0.750360462,,,,,,,,,,
,,,,,,,,0.740961719,,,,,,,,,,
,,,,,,,,0.739117885,,,,,,,,,,
,,,,,,,,0.739779064,,,,,,,,,,
,,,,,,,,0.718305906,,,,,,,,,,
,,,,,,,,0.00954905,,,,,,,,,,
